Institute,Ranking,Location,ShortDescription,LongDescription,ApplicationDeadline_Masters,ApplicationDeadline_Phd,Application_Fees_US_Resident,Application_Fees_International_Resident,Admissions_Phone,Admissions_Email,Application_URL,Website,FullTimeFaculty,Phd_Student_Ratio,FemalePercentage,MalePercentage,Tuition_masters_full_time,Tuition_masters_part_time,Tuition_doctoral_full_time,Page_URL
Oklahoma State University,#116," • Stillwater, OK","The College of Engineering, Architecture and Technology at Oklahoma State University has a rolling application deadline. The application fee is $50 for U.S. residents and $75 for international students. Its tuition is full-time: $6,909 per year (in-state); full-time: $18,539 per year (out-of-state); part-time: $384 per credit (in-state); and part-time: $1,030 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.4:1. The College of Engineering, Architecture and Technology at Oklahoma State University has 130 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementStillwater, OKExplore Map", 02/01, 02/01, $50, $75, (405) 744-6368,grad-i@okstate.edu,https://grad.okstate.edu/application-process/index.html,http://gradcollege.okstate.edu/, 130, 1.4:1,22.5%,77.5%,"$6,909 per year (in-state)",$384 per credit (in-state),"$6,909 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/oklahoma-state-university-main-campus-02147
University of Alabama,#116," • Tuscaloosa, AL","The College of Engineering at University of Alabama has a rolling application deadline. The application fee is $65 for U.S. residents and $80 for international students. Its tuition is full-time: $10,780 per year (in-state); full-time: $30,250 per year (out-of-state); part-time: $615 per credit (in-state); and part-time: $1,550 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2:1. The College of Engineering at University of Alabama has 147 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementTuscaloosa, ALExplore Map", N/A, N/A, $65, $80, (205) 348-5921,gradschool@ua.edu,https://graduate.ua.edu/prospective-students/apply-now/,https://graduate.ua.edu/, 147, 2:1,19.2%,80.8%,"$10,780 per year (in-state)",$615 per credit (in-state),"$10,780 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/the-university-of-alabama-02003
University of Arkansas--Fayetteville,#116," • Fayetteville, AR","The College of Engineering at University of Arkansas--Fayetteville has a rolling application deadline. The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $12,428 per year (in-state); full-time: $33,801 per year (out-of-state); part-time: $6,214 per year (in-state); and part-time: $16,901 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.8:1. The College of Engineering at University of Arkansas--Fayetteville has 110 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 0%Current Time 0:00/Duration 0:00Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementFayetteville, ARExplore Map", 08/01, 08/01, $60, $60, (479) 575-4401,gradinfo@uark.edu,https://graduate-and-international.uark.edu/graduate/future-students/applying/index.php,http://engineering.uark.edu/, 110, 1.8:1,30.2%,69.8%,"$12,428 per year (in-state)","$6,214 per year (in-state)","$12,428 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-arkansas-02008
University of California--Merced,#116," • Merced, CA","The application fee is $120 for U.S. residents and $140 for international students. Its tuition is full-time: $11,442 per year (in-state) and full-time: $15,102 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.7:1. The School of Engineering at University of California--Merced has 57 full-time faculty on staff.","Merced, CAExplore Map", N/A, N/A, $120, $140, (209) 228-4586,engineering@ucmerced.edu,https://graduatedivision.ucmerced.edu/prospective-students/apply-now,http://engineering.ucmerced.edu/, 57, 3.7:1,30.8%,69.2%,"$11,442 per year (in-state)", N/A,"$11,442 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-california-merced-02439
Utah State University,#116," • Logan, UT","The College of Engineering at Utah State University has a rolling application deadline. The application fee is $50 for U.S. residents and $50 for international students. Its tuition is full-time: $6,534 per year (in-state) and full-time: $22,393 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.8:1. The College of Engineering at Utah State University has 93 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementLogan, UTExplore Map", 02/28, 02/28, $50, $50, (866) 878-4723,graduateschool@usu.edu,https://www.usu.edu/graduateschool/,https://www.engineering.usu.edu/, 93, 1.8:1,17.1%,82.9%,"$6,534 per year (in-state)", N/A,"$6,534 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/utah-state-university-02182
Baylor University,#121," • Waco, TX","The School of Engineering & Computer Science at Baylor University has a rolling application deadline. The application fee is $50 for U.S. residents and $50 for international students. Its tuition is full-time: $46,046 per year. The 2021 Ph.D. student-faculty ratio is 1.9:1. The School of Engineering & Computer Science at Baylor University has 45 full-time faculty on staff.","Video Player is loading.Play VideoPlayMuteLoaded: 0%Current Time /Duration Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.Waco, TXExplore Map", N/A, N/A, $50, $50, (254) 710-4060,graduate_admissions@baylor.edu,https://www.baylor.edu/graduate/gobaylor/index.php?id=99641.,https://www.ecs.baylor.edu/, 45, 1.9:1,8.9%,91.1%," $46,046 per year", N/A," $46,046 per year",https://www.usnews.com/best-graduate-schools/top-engineering-schools/baylor-university-02288
Oregon Health and Science University,#121," • Portland, OR",The engineering school at Oregon Health and Science University has a rolling application deadline. The application fee is $70 for U.S. residents and $70 for international students. The 2021 Ph.D. student-faculty ratio is 1.8:1. The engineering school at Oregon Health and Science University has 37 full-time faculty on staff.,"Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementPortland, ORExplore Map", N/A, 12/15, $70, $70, (503) 418-9307,somgrad@ohsu.edu,https://ohsu.liaisoncas.com/applicant-ux/#/login,https://www.ohsu.edu/school-of-medicine/biomedical-engineering/graduate-program, 37, 1.8:1,,, N/A, N/A, N/A,https://www.usnews.com/best-graduate-schools/top-engineering-schools/oregon-health-and-science-university-02204
SMU (Lyle),#121," • Dallas, TX","The Bobby B. Lyle School of Engineering at SMU (Lyle) has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $1,200 per credit and part-time: $1,200 per credit. The 2021 Ph.D. student-faculty ratio is 1.6:1. The Bobby B. Lyle School of Engineering at SMU (Lyle) has 57 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 0%Current Time /Duration Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.Dallas, TXExplore Map", 11/15, 11/15, $75, $75, (214) 768-4395,srgonzalez@smu.edu,https://engineeringcas.liaisoncas.org/apply/,http://www.smu.edu/lyle, 57, 1.6:1,26.7%,73.3%," $1,200 per credit"," $1,200 per credit"," $1,200 per credit",https://www.usnews.com/best-graduate-schools/top-engineering-schools/southern-methodist-university-02172
Temple University,#121," • Philadelphia, PA","The College of Engineering at Temple University has a rolling application deadline. The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $21,312 per year (in-state); full-time: $27,828 per year (out-of-state); part-time: $1,184 per credit (in-state); and part-time: $1,546 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.8:1. The College of Engineering at Temple University has 64 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 0%Current Time /Duration Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementPhiladelphia, PAExplore Map", 06/01, 03/01, $60, $60, (215) 204-7800,gradengr@temple.edu,http://apply.temple.edu/engineering,https://engineering.temple.edu/, 64, 2.8:1,28.2%,71.8%,"$21,312 per year (in-state)","$1,184 per credit (in-state)","$21,312 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/temple-university-02206
Tulane University,#121," • New Orleans, LA",The School of Science and Engineering at Tulane University has a rolling application deadline. The application fee is $0 for U.S. residents and $0 for international students. The 2021 Ph.D. student-faculty ratio is 2.9:1. The School of Science and Engineering at Tulane University has 39 full-time faculty on staff.,"Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementNew Orleans, LAExplore Map", N/A, N/A, $0, $0, (504) 314-7108,morgan@tulane.edu,https://sse.tulane.edu/academics/graduate/admissions,https://sse.tulane.edu/academics/graduate, 39, 2.9:1,44.4%,55.6%, N/A, N/A, N/A,https://www.usnews.com/best-graduate-schools/top-engineering-schools/tulane-university-of-louisiana-02069
Clarkson University (Coulter),#126," • Potsdam, NY","The Wallace H. Coulter School of Engineering at Clarkson University (Coulter) has a rolling application deadline. The application fee is $50 for U.S. residents and $50 for international students. Its tuition is full-time: $35,712 per year and part-time: $1,488 per credit. The 2021 Ph.D. student-faculty ratio is 1.4:1. The Wallace H. Coulter School of Engineering at Clarkson University (Coulter) has 81 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 8.31%Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementPotsdam, NYExplore Map", N/A, N/A, $50, $50, (518) 631-9838,graduate@clarkson.edu,https://www.clarkson.edu/graduate-admissions,https://www.clarkson.edu/academics/engineering, 81, 1.4:1,22.9%,77.1%," $35,712 per year"," $1,488 per credit"," $35,712 per year",https://www.usnews.com/best-graduate-schools/top-engineering-schools/clarkson-university-02115
Florida International University,#126," • Miami, FL","The College of Engineering and Computing at Florida International University has a rolling application deadline. The application fee is $30 for U.S. residents and $30 for international students. Its tuition is full-time: $10,944 per year (in-state); full-time: $24,048 per year (out-of-state); part-time: $456 per credit (in-state); and part-time: $1,002 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.3:1. The College of Engineering and Computing at Florida International University has 111 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 0%Current Time /Duration Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementMiami, FLExplore Map", N/A, N/A, $30, $30, (305) 348-7861,gradadm@fiu.edu,https://gradschool.fiu.edu/admissions.shtml,https://cec.fiu.edu/, 111, 3.3:1,31.4%,68.6%,"$10,944 per year (in-state)",$456 per credit (in-state),"$10,944 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/florida-international-university-02044
University of Colorado--Denver,#126," • Denver, CO","The College of Engineering, Design and Computing at University of Colorado--Denver has a rolling application deadline. The application fee is $50 for U.S. residents and $75 for international students. Its tuition is full-time: $11,556 per year (in-state); full-time: $25,488 per year (out-of-state); part-time: $3,852 per year (in-state); and part-time: $8,496 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.7:1. The College of Engineering, Design and Computing at University of Colorado--Denver has 49 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 0%Current Time /Duration Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.Denver, COExplore Map", 02/01, 02/01, $50, $75, (303) 315-2183,graduateadmissions@ucdenver.edu,https://graduateschool.ucdenver.edu/admissions/apply,http://www.ucdenver.edu/, 49, 0.7:1,35.6%,64.4%,"$11,556 per year (in-state)","$3,852 per year (in-state)","$11,556 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-colorado-denver-02034
University of Massachusetts--Lowell (Francis),#126," • Lowell, MA","The Francis College of Engineering at University of Massachusetts--Lowell (Francis) has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $14,590 per year (in-state); full-time: $26,370 per year (out-of-state); part-time: $811 per credit (in-state); and part-time: $1,465 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.7:1. The Francis College of Engineering at University of Massachusetts--Lowell (Francis) has 121 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementLowell, MAExplore Map", N/A, N/A, $75, $75, (978) 934-2390,graduate_admissions@uml.edu,http://engineeringcas.liaisoncas.org/apply/,https://www.uml.edu/grad/, 121, 1.7:1,24.8%,75.2%,"$14,590 per year (in-state)",$811 per credit (in-state),"$14,590 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-massachusetts-lowell-02081
Virginia Commonwealth University,#126," • Richmond, VA","The School of Engineering at Virginia Commonwealth University has a rolling application deadline. The application fee is $70 for U.S. residents and $70 for international students. Its tuition is full-time: $12,618 per year (in-state); full-time: $25,956 per year (out-of-state); part-time: $701 per credit (in-state); and part-time: $1,442 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.8:1. The School of Engineering at Virginia Commonwealth University has 89 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 0.00%Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementRichmond, VAExplore Map", 06/01, 01/15, $70, $70, (804) 828-9306,gradengr@vcu.edu,https://www.vcu.edu/admissions/apply/graduate/,http://www.egr.vcu.edu/, 89, 1.8:1,47.7%,50%,"$12,618 per year (in-state)",$701 per credit (in-state),"$10,404 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/virginia-commonwealth-university-02241
Boise State University,#131," • Boise, ID","The College of Engineering at Boise State University has a rolling application deadline. The application fee is $65 for U.S. residents and $95 for international students. Its tuition is full-time: $7,110 per year (in-state); full-time: $16,920 per year (out-of-state); part-time: $354 per credit (in-state); and part-time: $711 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.9:1. The College of Engineering at Boise State University has 70 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 0%Current Time /Duration Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementBoise, IDExplore Map", 01/15, 01/15, $65, $95, (208) 426-4723,graduatecollege@boisestate.edu,https://www.boisestate.edu/graduatecollege/howtoapply/,https://admissions.boisestate.edu/apply/, 70, 1.9:1,38.5%,60%,"$7,110 per year (in-state)",$354 per credit (in-state),"$7,110 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/boise-state-university-02437
Howard University,#131," • Washington, DC","The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $33,084 per year and part-time: $1,838 per credit. The 2021 Ph.D. student-faculty ratio is 1.2:1. The College of Engineering and Architecture at Howard University has 48 full-time faculty on staff.","Washington, DCExplore Map", 01/15, 01/15, $75, $75, (202) 806-2702,hugsadmissions@howard.edu,https://gs.howard.edu/admissions,https://gs.howard.edu/, 48, 1.2:1,45.5%,54.5%," $33,084 per year"," $1,838 per credit"," $39,484 per year",https://www.usnews.com/best-graduate-schools/top-engineering-schools/howard-university-02041
Indiana University-Purdue University--Indianapolis,#131," • Indianapolis, IN","The School of Engineering and Technology at Indiana University-Purdue University--Indianapolis has a rolling application deadline. The application fee is $70 for U.S. residents and $70 for international students. Its tuition is full-time: $426 per credit (in-state); full-time: $1,300 per credit (out-of-state); part-time: $426 per credit (in-state); and part-time: $1,300 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.7:1. The School of Engineering and Technology at Indiana University-Purdue University--Indianapolis has 63 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 0%Current Time /Duration Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.Indianapolis, INExplore Map", 07/01, 01/02, $70, $70, (317) 278-4961,wvlim@iupui.edu,https://et.iupui.edu/prospective/graduate/admissions/,https://et.iupui.edu/, 63, 0.7:1,32.5%,67.5%,$426 per credit (in-state),$426 per credit (in-state),$426 per credit (in-state),https://www.usnews.com/best-graduate-schools/top-engineering-schools/indiana-university-purdue-university-indianapolis-02247
San Diego State University,#131," • San Diego, CA","The application fee is $70 for U.S. residents and $70 for international students. Its tuition is full-time: $7,176 per year (in-state); full-time: $9,504 per year (out-of-state); part-time: $4,164 per year (in-state); and part-time: $4,752 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.9:1. The engineering school at San Diego State University has 71 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 0%Current Time 0:00/Duration 0:00Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementSan Diego, CAExplore Map", 03/01, 12/15, $70, $70, (619) 594-6336,admissions@sdsu.edu,https://www2.calstate.edu/apply,https://www.sdsu.edu/, 71, 0.9:1,34.9%,65.1%,"$7,176 per year (in-state)","$4,164 per year (in-state)","$7,176 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/san-diego-state-university-02251
University of Louisville (Speed),#131," • Louisville, KY","The J. B. Speed School of Engineering at University of Louisville (Speed) has a rolling application deadline. The application fee is $65 for U.S. residents and $65 for international students. Its tuition is full-time: $13,524 per year (in-state); full-time: $27,638 per year (out-of-state); part-time: $752 per credit (in-state); and part-time: $1,536 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.7:1. The J. B. Speed School of Engineering at University of Louisville (Speed) has 90 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 0%Current Time /Duration Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.Louisville, KYExplore Map", N/A, N/A, $65, $65, (502) 852-6278,spdgrad@louisville.edu,http://louisville.edu/graduate/apply,https://engineering.louisville.edu/, 90, 1.7:1,27.3%,72.7%,"$13,524 per year (in-state)",$752 per credit (in-state),"$13,524 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-louisville-02066
